"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"1","LOGISTIC PLUS - DIEGO","MARTHA D LA G","4533052","SSA","","29/4/2022","14:00","40 HC/ 8 TON","TCNU6706160","22-16-1796-2001553","PLASTIC OMNIUM","MANZANILLO","LEON","ANTONIO FRANCO","19AT6G","593","ALSECONT M&R","ENTREGADO","4/5/2022","I 149","","","","","","","","","","","","","","","",""
"2","LOGISTIC PLUS - DIEGO","WELDEX","2634997","CONTECON","109EN4","2/5/2022","9:00","20 DC / 19 TON","BMOU2715411","22-16-3200-2006049","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","592-1","ISL","ENTREGADO","5/5/2022","I 148","","","","","","","","","","","","","","","",""
"3","LOGISTIC PLUS - DIEGO","WELDEX","520189V","TIMSA","","2/5/2022","9:00","40 HC/ 19 TON","EISU8540303","22-16-3200-2006049","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","592-2","ISL","ENTREGADO","5/5/2022","I 147","","","","","","","","","","","","","","","",""
"4","LOGISTIC PLUS - DIEGO","WELDEX","520769V","TIMSA","FC7987A","4/5/2022","8:00","40 DC/ 18 TON","EITU1670119","22-16-3200-2006007","KARCHER","MANZANILLO","MONTERREY","JUAN PABLO","38AV7C","597","ISL","ENTREGADO","5/5/2022","I 152","","","","","","","","","","","","","","","",""
"5","LOGISTIC PLUS - DIEGO","MARTHA D LA G","4533069","SSA","","29/4/2022","14:00","40 HC / 7 TON","TRHU6523991","22-16-1798-2001621","PLASTIC OMNIUM","MANZANILLO","LEON","ANTONIO FRANCO","19AT6G","596","ALSECONT M&R","ENTREGADO","5/5/2022","I 151","","","","","","","","","","","","","","","",""
"6","LOGISTIC PLUS - DIEGO","WELDEX","4544695","SSA","64AK5A","6/5/2022","13:00","40 HC  / 21 TON","KOCU4486690","22-16-3200-2006010","KARCHER","MANZANILLO","MONTERREY","FIDEL","64AK5A","667","TIMSA","ENTREGADO","23/06/2022","S 046","","","","","","","","","","","","","","","",""
"7","REAL SHIPPING - MONI","JOFFROY","2634076","CONTECON","188EW8","4/5/2022","6:00","22 G1/ 13 TON","DRYU2383386","22-16-3714-2000100","DEMATIC","MANZANILLO","MONTERREY","PABLO","38AV7C","599","CIMA","ENTREGADO","10/05/2022","I 157","","","","","","","","","","","","","","","",""
"8","LOGISTIC PLUS _ DIEGO","WELDEX","1428325","SSA","188EW8","04/05/2022","11:00","40 HC/ 19.7/19.7","WHLU5591210/WHSU6575360","22-16-3200-2006074","KARCHER","MANZANILLO","MONTERREY","PABLO-FIDEL","38AV7C/64AK5A","598/1 - 615/2","ALMAN","ENTREGADO","16-18/5/2022","I 168/ 170","","","","","","","","","","","","","","","",""
"9","LOGISTIC PLUS/ DIEGO","WELDEX","4543071","SSA","83AL2K","5/5/2022","5:00","40 HC/ 16.9 TON","WHSU5992625","22-16-3200-2006086","KARCHER","MANZANILLO","MONTERREY"," PABLO","38AV7C","606","ALMAN","ENTREGADO","12/05/2022","I 161","","","","","","","","","","","","","","","",""
"10","LOGISTIC PLUS/ DIEGO","UNI TRADE","1430202","SSA","38AV7C","7/5/2022","10:30","40 HC/17.7 /17.7","BMOU4373494/PCIU9444027","22 16-3451- 2004296","DAIKIN","MANZANILLO","SAN LUIS POTOSI","FIDEL","64AK5A","603-2","IMPALA","ENTREGADO","12/05/2022","I 155/ 156","","","","","","","","","","","","","","","",""
"11","LOGISTIC PLUS - CINTHYA","RB GROUP","1429500","SSA","83AL2K","6/5/2022","16:00","20 DC/ 22. 7/22.7 ","MRKU7072578/MSKU3227360","22-16-3171-2000926","THERMOTECK","MANZANILLO","MONTERREY","MANUEL ROSALES","38AL2M","CTA TERCEROS 601","CIMA","ENTREGADO","09-05-2022","I 154/ 153","","","","","","","","","","","","","","","",""
"12","LOGISTIC PLUS - ELIAS","MARTHA D LA G","1430541","SSA","64AK5A","9/5/2022","10:00","40 HC/7.3/7.9TON","MRKU584621/MTSU9612497","22-16-1798-2001832","PLASTIC OMNIUM","MANZANILLO","LEON","ANTONIO FRANCO","19AT6G","605/1 - 607/2","ALSECONT M&R","ENTREGADO","11-12/05/2022","I 160/ 162","","","","","","","","","","","","","","","",""
"13","WELLINGTON","JOFFROY","52416","MULTIMODAL","41AP8Y","10/5/2022","11.00","1518 KG","CARGA SUELTA","22-16-3708-2000459","ARGO","MANZANILLO","QUERETARO","ORLANDO VALDNOS","62AR8N","CTA TER 594-595","-------","ENTREGADO","11/052022","I 150","","","","","","","","","","","","","","","",""
